@RELATION Mario

@ATTRIBUTE  jumpsNumber		REAL
@ATTRIBUTE  duckNumber		REAL
@ATTRIBUTE  timeSpentDucking		REAL
@ATTRIBUTE  timesPressedRun		REAL
@ATTRIBUTE  timeSpentRunning		REAL
@ATTRIBUTE  timeRunningRight		REAL
@ATTRIBUTE  timeRunningLeft		REAL
@ATTRIBUTE  kickedShells		REAL
@ATTRIBUTE  totalTimeLittleMode		REAL
@ATTRIBUTE  totalTimeLargeMode		REAL
@ATTRIBUTE  totalTimeFireMode		REAL
@ATTRIBUTE  timesSwichingPower		REAL
@ATTRIBUTE  aimlessJumps		REAL
@ATTRIBUTE  percentageBlocksDestroyed		REAL
@ATTRIBUTE  percentageCoinBlocksDestroyed		REAL
@ATTRIBUTE  percentageEmptyBlockesDestroyed		REAL
@ATTRIBUTE  percentagePowerBlockDestroyed		REAL
@ATTRIBUTE  timesOfDeathByFallingIntoGap		REAL
@ATTRIBUTE  timesOfDeathByRedTurtle		REAL
@ATTRIBUTE  timesOfDeathByGoomba		REAL
@ATTRIBUTE  timesOfDeathByGreenTurtle		REAL
@ATTRIBUTE  timesOfDeathByArmoredTurtle		REAL
@ATTRIBUTE  timesOfDeathByJumpFlower		REAL
@ATTRIBUTE  timesOfDeathByCannonBall		REAL
@ATTRIBUTE  timesOfDeathByChompFlower		REAL
@ATTRIBUTE  percentageEnemiesKilled		REAL
@ATTRIBUTE  percentageCoinsCollected		REAL
@ATTRIBUTE	percentageSpentRunning		REAL
@ATTRIBUTE	percentageSpentRunningRight		REAL
@ATTRIBUTE	percentageTimeTaken		REAL

@ATTRIBUTE class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}

@DATA
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.58,0.79,0.34,0.01,-1.0,-1,-1,-1,-1,-1,-1,-1,0.21,0.26,0.31,0.70,0.33,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.47,0.13,0.48,0.99,-1.0,-1,-1,-1,-1,-1,-1,-1,0.57,0.51,0.67,0.45,0.27,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.90,0.73,0.92,0.93,-1.0,-1,-1,-1,-1,-1,-1,-1,0.68,0.85,0.18,0.52,0.24,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.98,0.50,0.42,0.74,-1.0,-1,-1,-1,-1,-1,-1,-1,0.95,0.80,0.29,0.02,0.10,15
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.04,0.48,0.78,0.69,-1.0,-1,-1,-1,-1,-1,-1,-1,0.89,0.82,0.98,0.05,0.02,15
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.26,0.58,0.22,0.93,-1.0,-1,-1,-1,-1,-1,-1,-1,0.42,0.71,0.04,0.84,0.03,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.05,0.95,0.37,0.94,-1.0,-1,-1,-1,-1,-1,-1,-1,0.93,0.58,0.99,0.10,0.49,15
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.39,0.89,0.30,0.61,-1.0,-1,-1,-1,-1,-1,-1,-1,0.45,0.76,0.98,0.27,0.43,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.52,0.14,0.91,0.28,-1.0,-1,-1,-1,-1,-1,-1,-1,0.11,0.51,0.57,0.05,0.75,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.58,0.25,0.48,0.68,-1.0,-1,-1,-1,-1,-1,-1,-1,0.74,0.78,0.15,0.91,0.79,6
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.72,0.38,0.32,0.41,-1.0,-1,-1,-1,-1,-1,-1,-1,0.06,0.40,0.91,0.29,0.95,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.04,0.49,0.47,0.20,-1.0,-1,-1,-1,-1,-1,-1,-1,0.45,0.79,0.60,0.37,0.26,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.71,0.44,0.45,0.64,-1.0,-1,-1,-1,-1,-1,-1,-1,0.33,0.10,0.39,0.27,0.26,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.15,0.37,0.89,0.29,-1.0,-1,-1,-1,-1,-1,-1,-1,0.82,0.96,0.20,0.41,0.50,14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.77,0.81,0.94,0.45,-1.0,-1,-1,-1,-1,-1,-1,-1,0.24,0.60,0.40,0.11,0.63,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.65,0.43,0.32,0.57,-1.0,-1,-1,-1,-1,-1,-1,-1,0.91,0.33,0.41,0.23,0.76,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.96,0.86,0.85,0.25,-1.0,-1,-1,-1,-1,-1,-1,-1,0.26,0.26,0.28,0.39,0.31,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.04,0.52,0.55,0.07,-1.0,-1,-1,-1,-1,-1,-1,-1,0.33,0.35,0.97,0.01,0.32,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.65,0.06,0.69,0.57,-1.0,-1,-1,-1,-1,-1,-1,-1,0.49,0.84,0.09,0.26,0.34,6
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.90,0.34,0.84,0.26,-1.0,-1,-1,-1,-1,-1,-1,-1,0.61,0.78,0.61,0.70,0.99,6
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.18,0.37,0.38,0.52,-1.0,-1,-1,-1,-1,-1,-1,-1,0.61,0.84,0.19,0.53,0.03,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.13,0.16,0.08,0.82,-1.0,-1,-1,-1,-1,-1,-1,-1,0.91,0.81,0.33,0.56,0.13,15
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.56,0.14,0.23,0.36,-1.0,-1,-1,-1,-1,-1,-1,-1,0.14,0.29,0.49,0.80,0.03,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.98,0.63,0.11,0.22,-1.0,-1,-1,-1,-1,-1,-1,-1,0.68,0.30,0.01,0.56,0.28,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.07,0.73,0.86,0.49,-1.0,-1,-1,-1,-1,-1,-1,-1,0.96,0.58,0.80,0.73,0.78,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.84,0.95,0.64,0.48,-1.0,-1,-1,-1,-1,-1,-1,-1,0.38,0.93,0.62,0.09,0.01,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.54,0.18,0.91,0.23,-1.0,-1,-1,-1,-1,-1,-1,-1,0.25,0.14,0.48,0.17,0.99,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.41,0.04,0.70,0.30,-1.0,-1,-1,-1,-1,-1,-1,-1,0.77,0.49,0.96,0.59,0.25,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.21,0.57,0.92,0.35,-1.0,-1,-1,-1,-1,-1,-1,-1,0.79,0.16,0.19,0.14,0.99,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.16,0.89,0.49,0.63,-1.0,-1,-1,-1,-1,-1,-1,-1,0.79,0.29,0.09,0.08,0.03,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.90,0.10,0.56,0.70,-1.0,-1,-1,-1,-1,-1,-1,-1,0.79,0.15,0.49,0.91,0.04,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.77,0.77,0.69,0.23,-1.0,-1,-1,-1,-1,-1,-1,-1,0.70,0.10,0.94,0.86,0.68,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.44,0.80,0.63,0.99,-1.0,-1,-1,-1,-1,-1,-1,-1,0.43,0.37,0.43,0.40,0.12,5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.87,0.85,0.03,0.60,-1.0,-1,-1,-1,-1,-1,-1,-1,0.21,0.99,0.55,0.02,0.30,7
